round,candidate,step,lr_mult,loss,avg3
49,3,489,0.0340472,3.367877,3.373591
49,3,490,0.0340472,3.265765,3.337867
50,3,491,0.0340472,3.309089,3.309089
50,3,492,0.0340472,3.368088,3.338589
50,3,493,0.0340472,3.369288,3.348822
50,3,494,0.0340472,3.392074,3.376483
50,3,495,0.0340472,3.362417,3.374593
50,3,496,0.0340472,3.415071,3.389854
50,3,497,0.0340472,3.371935,3.383141
50,3,498,0.0340472,3.409663,3.398889
50,3,499,0.0340472,3.430069,3.403889
50,3,500,0.0340472,3.42185,3.420527
51,3,501,0.0340472,3.413766,3.413766
51,3,502,0.0340472,3.393099,3.403432
51,3,503,0.0340472,3.414979,3.407281
51,3,504,0.0340472,3.410886,3.406321
51,3,505,0.0340472,3.343754,3.389873
51,3,506,0.0340472,3.374342,3.376327
51,3,507,0.0340472,3.369225,3.36244
51,3,508,0.0340472,3.400185,3.381251
51,3,509,0.0340472,3.36649,3.378633
51,3,510,0.0340472,3.354995,3.37389
52,3,511,0.0340472,3.431546,3.431546
52,3,512,0.0340472,3.409609,3.420578
52,3,513,0.0340472,3.358659,3.399938
52,3,514,0.0340472,3.334123,3.367464
52,3,515,0.0340472,3.389621,3.360801
52,3,516,0.0340472,3.357187,3.36031
52,3,517,0.0340472,3.402698,3.383168
52,3,518,0.0340472,3.415288,3.391724
52,3,519,0.0340472,3.338926,3.385637
52,3,520,0.0340472,3.381269,3.378494
53,3,521,0.0340472,3.339948,3.339948
53,3,522,0.0340472,3.386412,3.36318
53,3,523,0.0340472,3.392866,3.373075
53,3,524,0.0340472,3.360181,3.37982
53,3,525,0.0340472,3.416931,3.389993
53,3,526,0.0340472,3.3701,3.382404
53,3,527,0.0340472,3.363247,3.383426
53,3,528,0.0340472,3.382349,3.371899
53,3,529,0.0340472,3.334364,3.359987
53,3,530,0.0340472,3.400733,3.372482
54,2,531,0.0272378,3.385282,3.385282
54,2,532,0.0272378,3.374142,3.379712
54,2,533,0.0272378,3.389613,3.383012
54,2,534,0.0272378,3.339444,3.367733
54,2,535,0.0272378,3.433098,3.387385
54,2,536,0.0272378,3.292766,3.355102
54,2,537,0.0272378,3.393217,3.373027
54,2,538,0.0272378,3.430922,3.372301
54,2,539,0.0272378,3.39199,3.405376
54,2,540,0.0272378,3.346676,3.389863
55,4,541,0.0326853,3.308455,3.308455
55,4,542,0.0326853,3.343903,3.326179
55,4,543,0.0326853,3.402729,3.351696
55,4,544,0.0326853,3.388419,3.37835
55,4,545,0.0326853,3.289066,3.360071
55,4,546,0.0326853,3.416951,3.364812
55,4,547,0.0326853,3.397566,3.367861
55,4,548,0.0326853,3.300222,3.37158
55,4,549,0.0326853,3.382501,3.360096
55,4,550,0.0326853,3.283453,3.322059
56,2,551,0.0261483,3.34081,3.34081
56,2,552,0.0261483,3.427814,3.384312
56,2,553,0.0261483,3.329214,3.365946
56,2,554,0.0261483,3.383608,3.380212
56,2,555,0.0261483,3.290964,3.334595
56,2,556,0.0261483,3.362402,3.345658
56,2,557,0.0261483,3.406791,3.353386
56,2,558,0.0261483,3.423319,3.397504
56,2,559,0.0261483,3.295285,3.375132
56,2,560,0.0261483,3.357109,3.358571
57,4,561,0.0313779,3.288493,3.288493
57,4,562,0.0313779,3.332677,3.310585
57,4,563,0.0313779,3.340442,3.320537
57,4,564,0.0313779,3.363148,3.345423
57,4,565,0.0313779,3.329886,3.344492
57,4,566,0.0313779,3.326931,3.339988
57,4,567,0.0313779,3.379749,3.345522
57,4,568,0.0313779,3.324508,3.343729
57,4,569,0.0313779,3.368299,3.357519
57,4,570,0.0313779,3.357568,3.350125
58,2,571,0.0251023,3.358894,3.358894
58,2,572,0.0251023,3.398432,3.378663
58,2,573,0.0251023,3.371313,3.376213
58,2,574,0.0251023,3.359932,3.376559
58,2,575,0.0251023,3.374992,3.368746
58,2,576,0.0251023,3.375685,3.370203
58,2,577,0.0251023,3.385489,3.378722
58,2,578,0.0251023,3.292631,3.351268
58,2,579,0.0251023,3.37218,3.3501
58,2,580,0.0251023,3.313708,3.326173
59,3,581,0.0251023,3.473608,3.473608
59,3,582,0.0251023,3.373255,3.423432
59,3,583,0.0251023,3.350886,3.39925
59,3,584,0.0251023,3.389864,3.371335
59,3,585,0.0251023,3.350276,3.363675
59,3,586,0.0251023,3.349469,3.363203
59,3,587,0.0251023,3.390254,3.363333
59,3,588,0.0251023,3.366592,3.368771
