source,run,label,momentum_config,search_momentum,muon_nesterov,search_nesterov,interval_index,start_step,muon_lr,muon_momentum,selected_muon_nesterov,cooldown_muon_lr,cooldown_muon_momentum,cooldown_muon_nesterov,interval_loss,final_loss,evaluated_interval_configs,evaluated_configs
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,22,44,0.00026,0.9,False,0.00016,0.9,False,0.866928,0.866921,6,24
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,23,46,0.00073,0.8,False,0.00016,0.8,False,0.866924,0.866916,10,41
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,24,48,0.00044,0.8,False,,,None,0.866916,0.866916,8,8
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,0,0,0.12,0.9,True,0.072,0.9,True,2.205047,1.616277,22,103
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,1,2,0.12,0.7,True,0.043,0.7,True,1.526726,1.095997,13,61
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,2,4,0.072,0.9,True,0.043,0.9,True,1.077526,0.918955,16,72
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,3,6,0.043,0.9,True,0.026,0.9,True,0.91161,0.884149,8,37
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,4,8,0.026,0.9,True,0.016,0.9,True,0.883324,0.874289,8,37
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,5,10,0.016,0.9,True,0.0093,0.9,True,0.874092,0.870101,8,35
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,6,12,0.0093,0.9,True,0.0056,0.9,True,0.870202,0.868505,8,35
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,7,14,0.0056,0.9,True,0.0034,0.9,True,0.868556,0.867867,8,34
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,8,16,0.0056,0.9,True,0.0034,0.9,True,0.868466,0.86748,5,20
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,9,18,0.0034,0.9,True,0.002,0.9,True,0.867634,0.867293,8,35
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,10,20,0.0034,0.9,True,0.002,0.9,True,0.86769,0.867162,5,21
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,11,22,0.0034,0.9,True,0.002,0.9,True,0.86762,0.867095,5,20
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,12,24,0.0034,0.9,True,0.002,0.9,True,0.867665,0.867056,5,20
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,13,26,0.0034,0.9,True,0.002,0.9,True,0.867613,0.867029,5,21
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,14,28,0.0034,0.9,True,0.002,0.9,True,0.867676,0.867008,5,21
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,15,30,0.002,0.9,True,0.00073,0.9,True,0.867041,0.866993,8,38
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,16,32,0.0012,0.9,True,0.00073,0.9,True,0.866984,0.866959,8,37
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,17,34,0.00073,0.9,True,0.00044,0.9,True,0.866957,0.866944,8,33
