run,N,M,final_k_granularity,cooldown_final_k_granularity,step,total_steps,loss,head_lr,muon_lr
5,1,1,0.25,0.25,40,50,0.8922,1072.0,0.0034
5,1,1,0.25,0.25,41,50,0.8907,1072.0,0.0034
5,1,1,0.25,0.25,42,50,0.8906,1072.0,0.0034
5,1,1,0.25,0.25,43,50,0.8894,1072.0,0.0034
5,1,1,0.25,0.25,44,50,0.8887,1072.0,0.002
5,1,1,0.25,0.25,45,50,0.8867,1072.0,0.002
5,1,1,0.25,0.25,46,50,0.8872,1072.0,0.0034
5,1,1,0.25,0.25,47,50,0.8852,1072.0,0.002
5,1,1,0.25,0.25,48,50,0.8849,1072.0,0.002
5,1,1,0.25,0.25,49,50,0.8838,1072.0,0.002
5,1,1,0.25,0.25,50,50,0.8831,1072.0,0.00044
6,1,2,1.0,1.0,0,50,2.3135,1072.0,0.2
6,1,2,1.0,1.0,1,50,2.2279,1072.0,0.2
6,1,2,1.0,1.0,2,50,2.0997,1072.0,0.33
6,1,2,1.0,1.0,3,50,1.8028,1072.0,0.2
6,1,2,1.0,1.0,4,50,1.6509,1072.0,0.12
6,1,2,1.0,1.0,5,50,1.7259,1072.0,0.2
6,1,2,1.0,1.0,6,50,1.5456,1072.0,0.12
6,1,2,1.0,1.0,7,50,1.5014,1072.0,0.072
6,1,2,1.0,1.0,8,50,1.266,1072.0,0.072
6,1,2,1.0,1.0,9,50,1.1904,1072.0,0.072
6,1,2,1.0,1.0,10,50,1.0851,1072.0,0.043
6,1,2,1.0,1.0,11,50,1.0054,1072.0,0.043
6,1,2,1.0,1.0,12,50,0.9573,1072.0,0.026
6,1,2,1.0,1.0,13,50,0.9367,1072.0,0.026
6,1,2,1.0,1.0,14,50,0.9223,1072.0,0.016
6,1,2,1.0,1.0,15,50,0.9065,1072.0,0.0093
6,1,2,1.0,1.0,16,50,0.8998,1072.0,0.016
6,1,2,1.0,1.0,17,50,0.8926,1072.0,0.0093
6,1,2,1.0,1.0,18,50,0.8898,1072.0,0.0093
6,1,2,1.0,1.0,19,50,0.8862,1072.0,0.0093
6,1,2,1.0,1.0,20,50,0.8836,1072.0,0.0056
6,1,2,1.0,1.0,21,50,0.8835,1072.0,0.0093
6,1,2,1.0,1.0,22,50,0.8805,1072.0,0.0056
6,1,2,1.0,1.0,23,50,0.8795,1072.0,0.0056
6,1,2,1.0,1.0,24,50,0.8783,1072.0,0.0056
6,1,2,1.0,1.0,25,50,0.8817,1072.0,0.0093
6,1,2,1.0,1.0,26,50,0.8767,1072.0,0.0056
6,1,2,1.0,1.0,27,50,0.8758,1072.0,0.0034
6,1,2,1.0,1.0,28,50,0.8755,1072.0,0.0056
6,1,2,1.0,1.0,29,50,0.8742,1072.0,0.002
6,1,2,1.0,1.0,30,50,0.8745,1072.0,0.0056
6,1,2,1.0,1.0,31,50,0.8733,1072.0,0.002
6,1,2,1.0,1.0,32,50,0.8727,1072.0,0.0034
6,1,2,1.0,1.0,33,50,0.8722,1072.0,0.002
6,1,2,1.0,1.0,34,50,0.8715,1072.0,0.0034
6,1,2,1.0,1.0,35,50,0.8716,1072.0,0.0056
6,1,2,1.0,1.0,36,50,0.871,1072.0,0.0034
6,1,2,1.0,1.0,37,50,0.8706,1072.0,0.0012
6,1,2,1.0,1.0,38,50,0.8703,1072.0,0.002
6,1,2,1.0,1.0,39,50,0.8702,1072.0,0.0034
6,1,2,1.0,1.0,40,50,0.8699,1072.0,0.0012
6,1,2,1.0,1.0,41,50,0.8699,1072.0,0.0034
6,1,2,1.0,1.0,42,50,0.8696,1072.0,0.0012
6,1,2,1.0,1.0,43,50,0.8694,1072.0,0.0012
6,1,2,1.0,1.0,44,50,0.8695,1072.0,0.0034
6,1,2,1.0,1.0,45,50,0.8691,1072.0,0.0012
6,1,2,1.0,1.0,46,50,0.8689,1072.0,0.0012
6,1,2,1.0,1.0,47,50,0.8691,1072.0,0.0034
6,1,2,1.0,1.0,48,50,0.8687,1072.0,0.002
6,1,2,1.0,1.0,49,50,0.8686,1072.0,0.00044
6,1,2,1.0,1.0,50,50,0.8686,1072.0,5.6e-05
7,1,2,1.0,0.25,0,50,2.3135,1072.0,0.2
7,1,2,1.0,0.25,1,50,2.2279,1072.0,0.2
7,1,2,1.0,0.25,2,50,2.0788,1072.0,0.33
7,1,2,1.0,0.25,3,50,1.7702,1072.0,0.12
7,1,2,1.0,0.25,4,50,1.7243,1072.0,0.2
7,1,2,1.0,0.25,5,50,1.5469,1072.0,0.12
7,1,2,1.0,0.25,6,50,1.513,1072.0,0.12
7,1,2,1.0,0.25,7,50,1.3131,1072.0,0.12
7,1,2,1.0,0.25,8,50,1.1551,1072.0,0.072
7,1,2,1.0,0.25,9,50,1.0863,1072.0,0.043
7,1,2,1.0,0.25,10,50,1.0002,1072.0,0.026
7,1,2,1.0,0.25,11,50,0.9583,1072.0,0.026
7,1,2,1.0,0.25,12,50,0.9264,1072.0,0.026
7,1,2,1.0,0.25,13,50,0.9111,1072.0,0.016
7,1,2,1.0,0.25,14,50,0.8984,1072.0,0.0093
7,1,2,1.0,0.25,15,50,0.8965,1072.0,0.016
7,1,2,1.0,0.25,16,50,0.8902,1072.0,0.0093
7,1,2,1.0,0.25,17,50,0.8889,1072.0,0.0093
7,1,2,1.0,0.25,18,50,0.8856,1072.0,0.0093
7,1,2,1.0,0.25,19,50,0.8846,1072.0,0.0093
7,1,2,1.0,0.25,20,50,0.8828,1072.0,0.0093
7,1,2,1.0,0.25,21,50,0.8818,1072.0,0.0093
